Controller,timestamp,availability
FLOODLIGHT,04/23/15 22:44:03,100
OPENDAYLICHT,04/23/15 22:44:03,100
POX,04/23/15 22:44:08,100
RYU,04/23/15 22:44:08,100
FLOODLIGHT,04/23/15 22:44:08,100
OPENDAYLICHT,04/23/15 22:44:08,100
POX,04/23/15 22:44:13,100
RYU,04/23/15 22:44:13,100
FLOODLIGHT,04/23/15 22:44:13,100
OPENDAYLICHT,04/23/15 22:44:13,100
POX,04/23/15 22:44:19,100
RYU,04/23/15 22:44:19,100
FLOODLIGHT,04/23/15 22:44:19,100
OPENDAYLICHT,04/23/15 22:44:19,100
POX,04/23/15 22:44:24,100
RYU,04/23/15 22:44:24,100
FLOODLIGHT,04/23/15 22:44:24,100
OPENDAYLICHT,04/23/15 22:44:24,100
POX,04/23/15 22:44:29,100
RYU,04/23/15 22:44:29,100
FLOODLIGHT,04/23/15 22:44:29,100
OPENDAYLICHT,04/23/15 22:44:29,100
POX,04/23/15 22:44:34,100
RYU,04/23/15 22:44:35,100
FLOODLIGHT,04/23/15 22:44:35,100
OPENDAYLICHT,04/23/15 22:44:35,100
POX,04/23/15 22:44:40,100
RYU,04/23/15 22:44:40,100
FLOODLIGHT,04/23/15 22:44:40,100
OPENDAYLICHT,04/23/15 22:44:41,100
POX,04/23/15 22:44:46,100
RYU,04/23/15 22:44:46,100
FLOODLIGHT,04/23/15 22:44:46,100
OPENDAYLICHT,04/23/15 22:44:46,100
POX,04/23/15 22:44:51,100
RYU,04/23/15 22:44:51,100
FLOODLIGHT,04/23/15 22:44:51,100
OPENDAYLICHT,04/23/15 22:44:51,100
POX,04/23/15 22:44:56,100
RYU,04/23/15 22:44:57,100
FLOODLIGHT,04/23/15 22:44:57,100
OPENDAYLICHT,04/23/15 22:44:57,100
POX,04/23/15 22:45:02,100
RYU,04/23/15 22:45:02,100
FLOODLIGHT,04/23/15 22:45:02,100
OPENDAYLICHT,04/23/15 22:45:02,100
POX,04/23/15 22:45:07,100
RYU,04/23/15 22:45:07,100
FLOODLIGHT,04/23/15 22:45:07,100
OPENDAYLICHT,04/23/15 22:45:07,100
POX,04/23/15 22:45:12,100
RYU,04/23/15 22:45:12,100
FLOODLIGHT,04/23/15 22:45:12,100
OPENDAYLICHT,04/23/15 22:45:12,100
POX,04/23/15 22:45:18,100
RYU,04/23/15 22:45:18,100
FLOODLIGHT,04/23/15 22:45:18,100
OPENDAYLICHT,04/23/15 22:45:18,100
POX,04/23/15 22:45:23,100
RYU,04/23/15 22:45:23,100
FLOODLIGHT,04/23/15 22:45:23,100
OPENDAYLICHT,04/23/15 22:45:23,100
POX,04/23/15 22:45:28,100
RYU,04/23/15 22:45:28,100
FLOODLIGHT,04/23/15 22:45:28,100
OPENDAYLICHT,04/23/15 22:45:28,100
POX,04/23/15 22:45:33,100
RYU,04/23/15 22:45:33,100
FLOODLIGHT,04/23/15 22:45:33,100
OPENDAYLICHT,04/23/15 22:45:34,100
POX,04/23/15 22:45:39,100
RYU,04/23/15 22:45:39,100
FLOODLIGHT,04/23/15 22:45:39,100
OPENDAYLICHT,04/23/15 22:45:39,100
POX,04/23/15 22:45:44,100
RYU,04/23/15 22:45:44,100
FLOODLIGHT,04/23/15 22:45:44,100
OPENDAYLICHT,04/23/15 22:45:44,100
POX,04/23/15 22:45:49,100
RYU,04/23/15 22:45:49,100
FLOODLIGHT,04/23/15 22:45:49,100
OPENDAYLICHT,04/23/15 22:45:49,100
